"unique_id","species_harmonized","mean_lat","mean_long","intercept","slope","se_slope","cv_pop","McFadden_R2","year_s","year_10","year_e","year_range","n","rel_sample_per_year","fitted_first","fitted_10","fitted_last","ratio_fitted","ln_ratio_fitted","Kingdom","Phylum","Order","Class","Family","Hemisphere","Ecosystem","Position","ShiftR","Unit","PrAb","Sampling","Grain","Signif","Quality","Start","Reference","Source","usageKey","cent_lat","cent_long","dist_BioTime_BioShift"
"Abies balsamea 235 14","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 2","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 23","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 30","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 31","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 32","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 38","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 49","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 5","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 64","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 235 8","Abies balsamea",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,605.455980154504
"Abies balsamea 242 1","Abies balsamea",45.9929968125,-74.0038308125,126.9284,-0.061,0.014984,42.2863976901102,NA,1998,2008,2005,8,5,0.625,157.917326522986,85.8095408022295,103.039522971647,0.543382684418352,-0.609941447756427,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,486.395726390063
"Abies balsamea 242 2","Abies balsamea",45.9929163913043,-74.003134173913,225.5167,-0.1104,0.015832,45.6101954571875,NA,1998,2008,2006,9,6,0.666666666666667,148.563288268558,49.2706790342012,61.4402732897149,0.331647741568122,-1.1036818927183,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",-0.255,"km/year","OCCUR","TWO","FINE","YES","RESURVEYED",1970,86,"A85_P2","GBIF:2685383",49.18675915,-69.57937135,486.366782656893
"Abies balsamea 502 7090","Abies balsamea",46.92,-88.026,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",2.63,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:2685383",36.9285759,-80.83248295,1260.46355998335
"Abies balsamea 502 7099","Abies balsamea",46.92,-88.026,0,0,0.089442,0,0,1989,1999,2004,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",2.63,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:2685383",36.9285759,-80.83248295,1260.46355998335
"Abies balsamea 502 7104","Abies balsamea",46.92,-88.026,0,0,0.049226,0,0,1962,1972,1989,28,3,0.107142857142857,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Pinales","Pinopsida","Pinaceae","North","Terrestrial","Centroid",2.63,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:2685383",36.9285759,-80.83248295,1260.46355998335
"Abra alba 110 NA","Abra alba",54.7343448275862,-1.30560482758621,292.6965,-0.1467,0.16208,70.8430814600399,NA,1990,2000,1998,9,5,0.555555555555556,2.29225306960246,0.528806287157938,0.709071125510525,0.230692803587192,-1.46666830810261,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",2.5,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189061",56.0743812,2.56414495,286.426697631414
"Abra alba 204 NA","Abra alba",51.2044869620253,2.68890396518987,169.108,-0.082,0.001398,220.20365882131,NA,1976,1986,2001,26,14,0.538461538461538,1273.04405097269,560.896435990131,164.036900075144,0.440594679784701,-0.819629919619388,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",2.5,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189061",56.0743812,2.56414495,542.176425394123
"Abra alba 78 NA","Abra alba",54.2917948717949,11.6125641025641,-201.1195,0.1042,0.003169,62.241671375232,NA,1994,2004,2004,11,8,0.727272727272727,803.961959214207,2279.52807260629,2279.52807260629,2.83536807492024,1.04217176117558,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",2.5,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189061",56.0743812,2.56414495,607.837491625727
"Abra prismatica 696 REG1-05","Abra prismatica",57,2.5,67.3623,-0.0335,0.106093,19.9242421519819,NA,1999,2009,2011,13,3,0.230769230769231,1.48961003042534,1.06558926674122,0.99653667685657,0.715347805785759,-0.334986412904115,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",3.127,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189053",56.0743812,2.56414495,103.114597897154
"Abra prismatica 696 REG1-08","Abra prismatica",56.04,3.46,126.7087,-0.063,0.131287,46.350655413815,NA,2002,2012,2011,10,3,0.3,1.97602258726178,1.05293098648666,1.1213446269642,0.532853720030462,-0.629508338955546,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",3.127,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189053",56.0743812,2.56414495,55.8145703115261
"Abra prismatica 696 REG1-09","Abra prismatica",57.12,3.18,-150.7343,0.076,0.045783,68.0107482975992,NA,1999,2009,2011,13,4,0.307692307692308,3.59416579222352,7.68876640661288,8.95175894322349,2.13923531943034,0.760448437808122,"Animalia","Mollusca","Veneroida","Bivalvia","Semelidae","North","Marine","Centroid",3.127,"km/year","OCCUR","TWO","MEDIUM","NO","BALANCED",1986,87,"A86_P1","GBIF:5189053",56.0743812,2.56414495,122.362447049983
"Acanthis flammea 582 NA","Acanthis flammea",59.817,22.9,37.1158,-0.0169,0.002384,101.517410185106,NA,1979,1989,2019,41,41,1,43.1038938473621,36.4187078388624,21.9658805275957,0.844905287856984,-0.168530743283348,"Animalia","Chordata","Passeriformes","Aves","Fringillidae","North","Terrestrial","Centroid",-2.612,"km/year","ABUND","TWO","MEDIUM","YES","MODELED",2000,136,"A135_P1","GBIF:5231630",62.19500015,17.6393608,387.920356623271
"Acanthis flammea 634 NA","Acanthis flammea",65.3196993006993,17.7370909090909,7.5429,-0.0029,0.015812,42.6280604201799,NA,1997,2007,2019,23,19,0.826086956521739,5.39247090168068,5.23658825477316,5.05546569506071,0.971092538142591,-0.0293335133341274,"Animalia","Chordata","Passeriformes","Aves","Fringillidae","North","Terrestrial","Centroid",-2.612,"km/year","ABUND","TWO","MEDIUM","YES","MODELED",2000,136,"A135_P1","GBIF:5231630",62.19500015,17.6393608,347.87307078831
"Acanthis hornemanni 582 NA","Acanthis hornemanni",59.817,22.9,19.1352,-0.0094,0.018847,35.3576928474184,NA,1982,1992,2019,38,11,0.289473684210526,1.6078744431573,1.46340261069803,1.13492038630731,0.910147317115395,-0.0941488056335232,"Animalia","Chordata","Passeriformes","Aves","Fringillidae","North","Terrestrial","Centroid",-1.083,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:5231646",43.6271988,-107.96940985,7681.55865931459
"Accipiter cooperii 225 NA","Accipiter cooperii",33.43,-111.93,0,0,0.109108,0,0,2001,2011,2011,11,8,0.727272727272727,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",-0.12,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:2480621",43.6271988,-107.96940985,1185.99688200866
"Accipiter cooperii 226 NA","Accipiter cooperii",33.43,-111.93,112.7148,-0.0563,0.671671,9.31305063323101,NA,1998,2008,2000,3,3,1,1.17312939159084,0.66786830737888,1.04812939163148,0.569304896941679,-0.563339141372865,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",-0.12,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:2480621",43.6271988,-107.96940985,1185.99688200866
"Accipiter cooperii 632 NA","Accipiter cooperii",33.4485035384615,-112.068985538462,0,0,0.707103,0,0,2015,2025,2017,3,3,1,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",-0.12,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:2480621",43.6271988,-107.96940985,1187.56678575023
"Accipiter gentilis 582 NA","Accipiter gentilis",59.817,22.9,8.9948,-0.0041,0.009111,28.0465212625087,NA,1979,1989,2019,41,41,1,2.27993645141979,2.18772199423378,1.93285958677734,0.959553935317547,-0.0412867532147365,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",1.119,"km/year","ABUND","TWO","COARSE","NO","RESURVEYED",1970,144,"A143_P1","GBIF:2480589",64.94220545,25.617815,587.38790077645
"Accipiter gentilis 634 NA","Accipiter gentilis",60.5031111111111,16.3358888888889,0,0,0.339681,0,0,2014,2024,2018,5,3,0.6,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",0,"km/year","OCCUR","TWO","COARSE","NO","LOW",1974,248,"A247_P1","GBIF:2480589",64.95307265,25.54385325,681.360820751298
"Accipiter nisus 582 NA","Accipiter nisus",59.817,22.9,-18.4359,0.011,0.002196,29.7299655355764,NA,1979,1989,2019,41,41,1,29.0261611488522,32.4070162392923,45.1011255997737,1.11647613589349,0.110177418037846,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",0.944,"km/year","ABUND","TWO","COARSE","NO","RESURVEYED",1970,144,"A143_P1","GBIF:2480637",64.94220545,25.617815,587.38790077645
"Accipiter nisus 634 NA","Accipiter nisus",59.826625,15.2170625,11.2475,-0.0055,0.09569,16.1094869854461,NA,2005,2015,2018,14,5,0.357142857142857,1.18030312259571,1.11683724231134,1.09847148352927,0.94622916853359,-0.0552704892325533,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",0,"km/year","OCCUR","TWO","COARSE","NO","LOW",1974,248,"A247_P1","GBIF:2480637",64.95307265,25.54385325,778.876310889687
"Accipiter nisus 682 NA","Accipiter nisus",46.1067567647059,24.8346611764706,0,0,0.447211,0,0,2016,2026,2019,4,4,1,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",-6.7,"km/year","OCCUR","IRR","COARSE","NO","LOW",1974,156,"A155_P2","GBIF:2480637",54.12401675,5.8151245,1616.749746135
