"species_harmonized","usageKey"
"Tharyx acutus","GBIF:2323964"
"Pandion haliaetus","GBIF:2480726"
"Aechmophorus occidentalis","GBIF:2482033"
"Tachycineta thalassina","GBIF:5230754"
"Podarkeopsis levifuscina","GBIF:2309041"
"Cathartes aura","GBIF:2481930"
"Philomachus pugnax","GBIF:5229387"
"Heteromastus filiformis","GBIF:5197090"
"Ameritella agilis","GBIF:8798480"
"Troglodytes aedon","GBIF:5231459"
"Bubo virginianus","GBIF:5959118"
"Metridia longa","GBIF:2114824"
"Lymnocryptes minimus","GBIF:2481835"
"Broscus cephalotes","GBIF:4308815"
"Hydroprogne caspia","GBIF:2481236"
"Tringa erythropus","GBIF:2481725"
"Amara apricaria","GBIF:1035231"
"Accipiter striatus","GBIF:9740253"
"Lullula arborea","GBIF:2490604"
"Plegadis falcinellus","GBIF:2480773"
"Cygnus cygnus","GBIF:2498347"
"Chlidonias niger","GBIF:2481119"
"Ditylum brightwellii","GBIF:3193746"
"Hesperia comma","GBIF:5142282"
"Amara lunicollis","GBIF:1035167"
"Limosa limosa","GBIF:2481685"
"Caprimulgus europaeus","GBIF:8109681"
"Loxia pytyopsittacus","GBIF:2494154"
"Gymnorhinus cyanocephalus","GBIF:5229498"
"Aeronautes saxatalis","GBIF:2477108"
"Buteo lagopus","GBIF:2480524"
"Pooecetes gramineus","GBIF:2491728"
"Paradromius linearis","GBIF:4480302"
"Tringa totanus","GBIF:2481714"
"Patrobus atrorufus","GBIF:4475902"
"Dicheirotrichus placidus","GBIF:4475761"
"Setophaga nigrescens","GBIF:7341770"
"Emberiza pusilla","GBIF:2491544"
"Cottunculus microps","GBIF:2334890"
"Numenius phaeopus","GBIF:2481784"
"Buteo buteo","GBIF:2480537"
"Empidonax occidentalis","GBIF:2482805"
"Eualus gaimardii","GBIF:2226509"
"Poecile cinctus","GBIF:2487862"
"Bombus hypnorum","GBIF:1340513"
"Tholera cespitis","GBIF:1771531"
"Acrocephalus schoenobaenus","GBIF:2493129"
"Harpalus latus","GBIF:8711380"
"Xanthocephalus xanthocephalus","GBIF:2484195"
"Pterostichus madidus","GBIF:7641814"
"Setophaga ruticilla","GBIF:2489985"
"Lagopus lagopus","GBIF:2473421"
"Gavia stellata","GBIF:2481958"
"Anthocharis cardamines","GBIF:1919712"
"Bembidion minimum","GBIF:4308806"
"Polioptila caerulea","GBIF:2487596"
"Eucampia zodiacus","GBIF:3192094"
"Poecile palustris","GBIF:2487843"
"Bucephala clangula","GBIF:2498326"
"Perisoreus infaustus","GBIF:2482449"
"Dendrocygna autumnalis","GBIF:2498393"
"Agrotis clavis","GBIF:1770790"
"Corvus corax","GBIF:2482492"
"Pandalus montagui","GBIF:2222367"
"Larus fuscus","GBIF:2481174"
"Cuculus canorus","GBIF:5231918"
"Columba livia","GBIF:2495414"
"Epinephelus aeneus","GBIF:2388415"
"Grus grus","GBIF:2474950"
"Harpalus rufipalpis","GBIF:5873211"
"Ammodramus henslowii","GBIF:2491119"
"Notiophilus substriatus","GBIF:11017128"
"Chroicocephalus philadelphia","GBIF:6065818"
"Coloeus monedula","GBIF:6100954"
"Acer pensylvanicum","GBIF:3189836"
"Fringilla montifringilla","GBIF:2494441"
"Passerella iliaca","GBIF:2491872"
"Saxicola rubetra","GBIF:2492521"
"Melanitta nigra","GBIF:2498247"
"Pleuromamma gracilis gracilis","GBIF:10898477"
"Oligia latruncula","GBIF:1766410"
"Molothrus ater","GBIF:2484391"
"Delichon urbicum","GBIF:2489214"
"Cardellina pusilla","GBIF:7341606"
"Phylloscopus trochiloides","GBIF:2493084"
"Actitis hypoleucos","GBIF:2481800"
"Cygnus olor","GBIF:2498343"
"Hirundo rustica","GBIF:9515886"
"Carabus violaceus","GBIF:4470765"
"Peucaea aestivalis","GBIF:7341544"
"Turdus torquatus","GBIF:7865305"
"Nycticorax nycticorax","GBIF:2480863"
"Ophiura albida","GBIF:2277002"
"Scyliorhinus canicula","GBIF:2418684"
"Olisthopus rotundatus","GBIF:4473974"
"Picoides tridactylus","GBIF:2477804"
"Falco columbarius","GBIF:9813242"
"Passer domesticus","GBIF:5231190"
"Asio flammeus","GBIF:2497295"
"Sturnus vulgaris","GBIF:9809229"
